Year,Month,Date,Date_Adv,India-Infected,India-Deaths,India-GDP,US-Infected,US-Deaths,US-GDP
2020,March,12,3/12/2020,14,0,3.1,291,5,-48.5
2020,March,13,3/13/2020,8,1,3.1,277,7,-48.5
2020,March,14,3/14/2020,2,0,3.1,414,10,-48.5
2020,March,15,3/15/2020,26,0,3.1,36,15,-48.5
2020,March,16,3/16/2020,4,0,3.1,0,22,-48.5
2020,March,17,3/17/2020,23,0,3.1,1822,26,-48.5
2020,March,18,3/18/2020,14,0,3.1,3551,50,-48.5
2020,March,19,3/19/2020,22,0,3.1,3351,69,-48.5
2020,March,20,3/20/2020,50,0,3.1,4777,71,-48.5
2020,March,21,3/21/2020,92,0,3.1,0,66,-48.5
2020,March,22,3/22/2020,45,0,3.1,0,137,-48.5
2020,March,23,3/23/2020,108,0,3.1,16354,180,-48.5
2020,March,24,3/24/2020,51,0,3.1,20341,271,-48.5
2020,March,25,3/25/2020,87,0,3.1,0,308,-48.5
2020,March,26,3/26/2020,88,1,3.1,16420,360,-48.5
2020,March,27,3/27/2020,30,1,3.1,0,503,-48.5
2020,March,28,3/28/2020,194,0,3.1,16894,652,-48.5
2020,March,29,3/29/2020,106,25,3.1,18093,502,-48.5
2020,March,30,3/30/2020,227,13,3.1,19332,824,-48.5
2020,March,31,3/31/2020,146,6,3.1,17987,1102,-48.5
2020,April,1,4/1/2020,437,11,-23.9,22559,1262,-72
2020,April,2,4/2/2020,235,11,-23.9,24103,1213,-72
2020,April,3,4/3/2020,478,14,-23.9,26298,1291,-72
2020,April,4,4/4/2020,525,13,-23.9,28103,1579,-72
2020,April,5,4/5/2020,505,22,-23.9,32105,1429,-72
2020,April,6,4/6/2020,704,16,-23.9,33510,1528,-72
2020,April,7,4/7/2020,508,27,-23.9,26493,2282,-72
2020,April,8,4/8/2020,485,20,-23.9,29510,2216,-72
2020,April,9,4/9/2020,591,46,-23.9,31709,2156,-72
2020,April,10,4/10/2020,896,22,-23.9,30859,2291,-72
2020,April,11,4/11/2020,768,41,-23.9,35386,2074,-72
2020,April,12,4/12/2020,918,42,-23.9,31606,1763,-72
2020,April,13,4/13/2020,905,27,-23.9,31633,1750,-72
2020,April,14,4/14/2020,1463,37,-23.9,29308,2638,-72
2020,April,15,4/15/2020,1118,27,-23.9,24446,2702,-72
2020,April,16,4/16/2020,826,26,-23.9,25802,2261,-72
2020,April,17,4/17/2020,1076,38,-23.9,28711,2607,-72
2020,April,18,4/18/2020,957,35,-23.9,32549,1929,-72
2020,April,19,4/19/2020,1324,38,-23.9,30023,1602,-72
2020,April,20,4/20/2020,1540,33,-23.9,28252,1990,-72
2020,April,21,4/21/2020,1329,53,-23.9,27668,2753,-72
2020,April,22,4/22/2020,1486,36,-23.9,25634,2427,-72
2020,April,23,4/23/2020,1229,40,-23.9,24019,2418,-72
2020,April,24,4/24/2020,1752,59,-23.9,29127,2001,-72
2020,April,25,4/25/2020,1490,44,-23.9,38719,2121,-72
2020,April,26,4/26/2020,1975,56,-23.9,38509,1180,-72
2020,April,27,4/27/2020,1463,58,-23.9,32417,1432,-72
2020,April,28,4/28/2020,1594,69,-23.9,29218,2549,-72
2020,April,29,4/29/2020,1813,71,-23.9,22541,2471,-72
2020,April,30,4/30/2020,1823,75,-23.9,20517,2286,-72
2020,May,1,5/1/2020,1755,77,-23.9,31379,1972,67.2
2020,May,2,5/2/2020,2411,92,-23.9,31774,1737,67.2
2020,May,3,5/3/2020,2487,140,-23.9,26753,1179,67.2
2020,May,4,5/4/2020,2573,103,-23.9,31839,1350,67.2
2020,May,5,5/5/2020,3875,128,-23.9,29266,2423,67.2
2020,May,6,5/6/2020,2680,91,-23.9,16200,2591,67.2
2020,May,7,5/7/2020,3561,104,-23.9,22267,2183,67.2
2020,May,8,5/8/2020,3390,97,-23.9,22119,1735,67.2
2020,May,9,5/9/2020,3320,116,-23.9,30204,1463,67.2
2020,May,10,5/10/2020,3277,112,-23.9,25870,1230,67.2
